Front	Back
Дай определение **статистического критерия**	Функция \(\delta(X, H_0, H_1, \alpha) \to \{\text{accept } H_0, \text{reject } H_0\}\). Здесь \(\alpha\) — **уровень значимости** (типично 0.1, 0.05, 0.01).
Что означает «принять \(H_0\)» и «отвергнуть \(H_0\)»?	**«Принять»** ≠ доказательство истинности \(H_0\), а лишь «данные не противоречат \(H_0\) относительно данной альтернативы». **«Отвергнуть»** ≠ доказательство \(H_1\), а «данные скорее свидетельствуют в пользу альтернативы».
Принцип выбора статистики критерия \(T(X)\)?	Распределение \(T(X)\) должно быть «хорошим» (известным) **при условии истинности \(H_0\)**. Это позволяет считать критическую область.
Что такое **область принятия** и **критическая область**?	\(T_0(\alpha)\) — область принятия \(H_0\); \(T_1(\alpha)\) — критическая. При \(H_0\): \(P(T \in T_0 | H_0) = 1 - \alpha\), \(P(T \in T_1 | H_0) = \alpha\).
Три типа критических областей	**Правосторонний**: \(T_0 = (-\infty, q_{1-\alpha}]\), крит. справа. **Левосторонний**: \(T_0 = [q_\alpha, +\infty)\), крит. слева. **Двусторонний**: \(T_0 = [q_{\alpha/2}, q_{1-\alpha/2}]\), крит. с обеих сторон.
Дай определение **p-value** (правосторонний)	\[p\text{-value}_\text{right} = P(T(X) > T_\text{набл} | H_0)\] Вероятность получить **более экстремальное** значение, чем наблюдаемое, при условии \(H_0\).
Дай определение **p-value** (левосторонний и двусторонний)	**Левосторонний**: \(P(T(X) < T_\text{набл} | H_0)\). **Двусторонний**: \(p = 2 \min(p_\text{left}, p_\text{right})\).
Унифицированный if-statement через p-value	\[\text{if } p\text{-value} > \alpha \Rightarrow H_0, \text{ иначе } \Rightarrow H_1\] p-value лежит в \([0,1]\), что унифицирует все типы тестов.
Распространённая ошибка про p-value	p-value **НЕ** есть вероятность того, что \(H_0\) верна! Это **вероятность того, что статистика примет более экстремальное значение** относительно наблюдаемого при условии \(H_0\).
Что такое **ошибка I рода** (False Positive)?	Тест отверг \(H_0\), но в реальности \(H_0\) верна. \(P(\text{ошибка I рода}) = \alpha\) — управляется уровнем значимости.
Что такое **ошибка II рода** (False Negative)?	Тест принял \(H_0\), но в реальности верна \(H_1\). Обозначение: \(\beta = P(T \in T_0 | H_1)\).
Дай определение **состоятельности критерия**	\(\beta \to 0\) при \(n \to \infty\) — вероятность ошибки II рода стремится к 0.
Дай определение **мощности критерия**	\(\text{Мощность} = 1 - \beta = P(T \in T_1 | H_1)\) — вероятность правильно отвергнуть \(H_0\), когда верна \(H_1\).
Связь между \(\alpha\) и \(\beta\)	Обычно: **чем меньше \(\alpha\), тем больше \(\beta\)**. Нельзя одновременно занулить обе. **Стандартный подход**: фиксируем \(\alpha\), минимизируем \(\beta\) (максимизируем мощность).
Пример «трейдоффа» \(\alpha\) и \(\beta\): спам-классификатор	**A**: всё во «Входящие» → \(\alpha = 0\), но \(\beta\) большое. **B**: всё в «Спам» → \(\beta = 0\), но \(\alpha\) большое. Идеал — баланс.
**Связь ДИ и стат-тестов** (ключевое утверждение)	**Принять \(H_0: \theta = \theta_0\)** на уровне \(\alpha\) **равносильно** тому, что \(\theta_0\) попадает в **доверительный интервал** уровня \(1 - \alpha\).
Что такое **Z-тест** (терминология)?	Стат-критерий, где статистика **точно имеет или сходится к \(\mathcal{N}(0,1)\)** при \(H_0\). Жаргон: «Z» — историческое обозначение нормальной величины.
Статистика **Z-теста для одной выборки** (мат. ожидание)	\[T(X) = \frac{\sqrt{n}(\overline{X} - \mu_0)}{S} \xrightarrow{d} \mathcal{N}(0,1)\] при больших \(n\). \(S\) — выборочное стандартное отклонение.
Как выбирается тип критической области в Z-тесте?	По альтернативе. \(H_1: \mu > \mu_0\) → \(\bar{X}\) смещается вверх → **правосторонняя**. \(H_1: \mu < \mu_0\) → **левосторонняя**. \(H_1: \mu \neq \mu_0\) → **двусторонняя**.
Статистика для Бернулли (Z-тест на \(p\))	\[T(X) = \frac{\sqrt{n}(\overline{X} - p_0)}{\sqrt{p_0(1 - p_0)}} \xrightarrow{d} \mathcal{N}(0,1)\] При \(H_0\) дисперсия **известна** — \(p_0(1-p_0)\), а не выборочная.
Итоговая схема работы стат-критерия (8 шагов)	1) Сформулировать \(H_0, H_1\). 2) Фиксировать \(\alpha\). 3) Выбрать статистику с известным распределением при \(H_0\). 4) Определить тип крит. области. 5) Вычислить \(T(x)\). 6) Вычислить p-value. 7) Принять решение. 8) Проверить состоятельность.
